date,iso_a3,currency_code,name,local_price,dollar_ex,dollar_price,USD,EUR,GBP,JPY,CNY
1/07/2009,ZAF,ZAR,South Africa,17.95,8.2805,2.167743494,-0.368,-0.5305,-0.41226,-0.37295,0.18492
1/07/2009,KOR,KRW,South Korea,3400,1314.5,2.586534804,-0.24591,-0.43979,-0.29871,-0.2518,0.41384
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
1/07/2009,TUR,TRY,Turkey,5.65,1.55005,3.645043708,0.06269,-0.21054,-0.01172,0.05439,0.99244
,,,,,,,,,,,
,,,,,,,,,,,
1/07/2009,USA,USD,United States,3.43,1,3.43,0,-0.25711,-0.07003,-0.00782,0.87489
,,,,,,,,,,,
1/01/2010,ARG,ARS,Argentina,7,3.7985,1.842832697,-0.46273,-0.61956,-0.49805,-0.47283,0.00651
1/01/2010,AUS,AUD,Australia,4.35,1.09355,3.977870239,0.15973,-0.1788,0.0835,0.13792,1.17262
